case:concept:name,label,n_events,start_time,end_time,throughput_seconds
Case1,true,4,2012-01-30 05:43:00+00:00,2012-01-30 10:58:00+00:00,18900.0
Case100,false,14,2012-02-20 17:57:00+00:00,2012-03-21 07:03:00+00:00,2552760.0
Case102,true,15,2012-02-27 21:09:00+00:00,2012-03-01 00:11:00+00:00,183720.0
Case103,true,12,2012-03-06 10:18:00+00:00,2012-03-11 18:35:00+00:00,461820.0
Case104,true,6,2012-03-20 02:26:00+00:00,2012-03-21 09:49:00+00:00,112980.0
Case105,true,2,2012-03-21 06:34:00+00:00,2012-03-21 10:31:00+00:00,14220.0
Case107,true,1,2012-03-30 11:47:00+00:00,2012-03-30 11:47:00+00:00,0.0
Case109,true,7,2012-03-04 18:01:00+00:00,2012-03-05 09:41:00+00:00,56400.0
Case11,true,20,2012-01-15 23:40:00+00:00,2012-01-25 14:09:00+00:00,829740.0
Case110,true,9,2012-03-01 06:35:00+00:00,2012-03-04 07:51:00+00:00,263760.0
Case111,false,16,2012-03-13 00:13:00+00:00,2012-03-26 06:43:00+00:00,1146600.0
Case112,true,3,2012-03-08 06:51:00+00:00,2012-03-13 23:10:00+00:00,490740.0
Case113,true,4,2012-03-15 06:49:00+00:00,2012-03-16 11:39:00+00:00,103800.0
Case114,true,5,2012-02-29 06:53:00+00:00,2012-03-05 01:15:00+00:00,411720.0
Case115,true,19,2012-03-05 16:01:00+00:00,2012-03-12 18:16:00+00:00,612900.0
Case116,true,11,2012-02-22 11:29:00+00:00,2012-02-29 01:00:00+00:00,567060.0
Case117,true,3,2012-02-23 01:00:00+00:00,2012-02-23 11:01:00+00:00,36060.0
Case118,true,3,2012-03-25 01:15:00+00:00,2012-03-29 01:29:00+00:00,346440.0
Case119,true,11,2012-03-20 15:57:00+00:00,2012-03-29 17:18:00+00:00,782460.0
Case12,false,26,2012-01-26 07:00:00+00:00,2012-02-17 01:00:00+00:00,1879200.0
Case120,true,3,2012-02-26 16:08:00+00:00,2012-02-27 06:55:00+00:00,53220.0
Case121,false,20,2012-03-05 23:59:00+00:00,2012-03-28 13:03:00+00:00,1947840.0
Case122,false,26,2012-03-04 12:57:00+00:00,2012-03-28 01:00:00+00:00,2030580.0
Case123,true,9,2012-03-14 01:15:00+00:00,2012-03-16 07:12:00+00:00,194220.0
Case127,true,31,2012-03-04 15:14:00+00:00,2012-03-12 12:21:00+00:00,680820.0
