Part_Desc_,Rework,Work_Order_Qty,Case ID,label,Activity,Resource,Report_Type,Resource.1,Qty_Completed,Qty_for_MRB,activity_duration,Complete Timestamp,timesincemidnight,month,weekday,hour,timesincelastevent,timesincecasestart,event_nr,open_cases,concept:name,time:timestamp,@@index,@@case_index,case:concept:name,case:label
Ballnut,missing,18,Case100,regular,Turning & Milling - Machine 8,ID4219,D,Machine 8 - Turning & Milling,7,0,48.0,2012-02-20 17:57:00+00:00,1077,2,0,17,0.0,0.0,1,28,Turning & Milling - Machine 8,2012-02-20 17:57:00+00:00,26,2,Case100,false
Ballnut,missing,18,Case100,regular,Turning & Milling - Machine 8,ID4529,D,Machine 8 - Turning & Milling,11,0,240.0,2012-02-21 02:57:00+00:00,177,2,1,2,540.0,540.0,2,26,Turning & Milling - Machine 8,2012-02-21 02:57:00+00:00,27,2,Case100,false
Ballnut,missing,18,Case100,regular,Turning & Milling - Machine 8,ID4219,S,Machine 8 - Turning & Milling,1,0,258.0,2012-02-21 11:03:00+00:00,663,2,1,11,486.0,1026.0,3,25,Turning & Milling - Machine 8,2012-02-21 11:03:00+00:00,28,2,Case100,false
Ballnut,missing,18,Case100,regular,Turning & Milling - Machine 8,ID4219,D,Machine 8 - Turning & Milling,17,0,64.0,2012-02-21 12:08:00+00:00,728,2,1,12,65.0,1091.0,4,25,Turning & Milling - Machine 8,2012-02-21 12:08:00+00:00,29,2,Case100,false
Ballnut,missing,18,Case100,regular,Turning & Milling Q.C.,ID4618,D,Quality Check 1,18,0,22.0,2012-02-22 15:10:00+00:00,910,2,2,15,1622.0,2713.0,5,28,Turning & Milling Q.C.,2012-02-22 15:10:00+00:00,30,2,Case100,false
Ballnut,missing,18,Case100,regular,Laser Marking - Machine 7,ID0998,D,Machine 7- Laser Marking,18,0,1.0,2012-03-11 11:06:00+00:00,666,3,6,11,25676.0,28389.0,6,16,Laser Marking - Machine 7,2012-03-11 11:06:00+00:00,31,2,Case100,false
Ballnut,missing,18,Case100,regular,Flat Grinding - Machine 11,ID0998,D,Machine 11 - Grinding,18,0,22.0,2012-03-11 12:45:00+00:00,765,3,6,12,99.0,28488.0,7,16,Flat Grinding - Machine 11,2012-03-11 12:45:00+00:00,32,2,Case100,false
Ballnut,missing,18,Case100,regular,Lapping - Machine 1,ID4882,D,Machine 1 - Lapping,18,0,32.0,2012-03-11 13:18:00+00:00,798,3,6,13,33.0,28521.0,8,16,Lapping - Machine 1,2012-03-11 13:18:00+00:00,33,2,Case100,false
Ballnut,missing,18,Case100,regular,Round Grinding - Machine 3,ID4445,S,Machine 3 - Round Grinding,0,0,7.0,2012-03-13 10:41:00+00:00,641,3,1,10,2723.0,31244.0,9,19,Round Grinding - Machine 3,2012-03-13 10:41:00+00:00,34,2,Case100,false
Ballnut,missing,18,Case100,regular,Round Grinding - Machine 3,ID4445,D,Machine 3 - Round Grinding,18,0,271.0,2012-03-13 15:12:00+00:00,912,3,1,15,271.0,31515.0,10,18,Round Grinding - Machine 3,2012-03-13 15:12:00+00:00,35,2,Case100,false
Ballnut,missing,18,Case100,regular,other,ID4872,D,Machine 12 - Grinding,0,0,70.0,2012-03-16 12:40:00+00:00,760,3,4,12,4168.0,35683.0,11,21,other,2012-03-16 12:40:00+00:00,36,2,Case100,false
Ballnut,missing,18,Case100,regular,Final Inspection Q.C.,ID4618,D,Quality Check 1,0,0,165.0,2012-03-19 14:06:00+00:00,846,3,0,14,4406.0,40089.0,12,20,Final Inspection Q.C.,2012-03-19 14:06:00+00:00,37,2,Case100,false
Ballnut,missing,18,Case100,regular,Packing,ID4820,D,Packing,18,0,60.0,2012-03-21 01:00:00+00:00,60,3,2,1,2094.0,42183.0,13,19,Packing,2012-03-21 01:00:00+00:00,38,2,Case100,false
Ballnut,missing,18,Case100,regular,Final Inspection Q.C.,ID4618,D,Quality Check 1,18,0,1.0,2012-03-21 07:03:00+00:00,423,3,2,7,363.0,42546.0,14,20,Final Inspection Q.C.,2012-03-21 07:03:00+00:00,39,2,Case100,false
Cable Head,missing,151,Case177,deviant,Lapping - Machine 1,ID0998,D,Machine 1 - Lapping,7,0,125.0,2012-01-04 10:25:00+00:00,625,1,2,10,0.0,0.0,1,18,Lapping - Machine 1,2012-01-04 10:25:00+00:00,502,57,Case177,false
Cable Head,missing,151,Case177,deviant,Round Grinding - Machine 2,ID4385,S,Machine 2 - Round Grinding,0,0,107.0,2012-01-08 15:08:00+00:00,908,1,6,15,6043.0,6043.0,2,23,Round Grinding - Machine 2,2012-01-08 15:08:00+00:00,503,57,Case177,false
Cable Head,missing,151,Case177,deviant,Round Grinding - Machine 2,ID4385,D,Machine 2 - Round Grinding,2,0,48.0,2012-01-08 15:57:00+00:00,957,1,6,15,49.0,6092.0,3,24,Round Grinding - Machine 2,2012-01-08 15:57:00+00:00,504,57,Case177,false
Cable Head,missing,151,Case177,deviant,Round Grinding - Machine 2,ID4355,D,Machine 2 - Round Grinding,12,0,374.0,2012-01-08 22:13:00+00:00,1333,1,6,22,376.0,6468.0,4,25,Round Grinding - Machine 2,2012-01-08 22:13:00+00:00,505,57,Case177,false
Cable Head,missing,151,Case177,deviant,Final Inspection Q.C.,ID4163,D,Quality Check 1,0,0,100.0,2012-01-17 08:40:00+00:00,520,1,1,8,12147.0,18615.0,5,32,Final Inspection Q.C.,2012-01-17 08:40:00+00:00,506,57,Case177,false
Cable Head,missing,151,Case177,deviant,Final Inspection Q.C.,ID4163,D,Quality Check 1,0,0,230.0,2012-01-17 12:50:00+00:00,770,1,1,12,250.0,18865.0,6,31,Final Inspection Q.C.,2012-01-17 12:50:00+00:00,507,57,Case177,false
Ballnut,missing,18,Case142,regular,Turning & Milling Q.C.,ID4287,D,Quality Check 1,0,0,126.0,2012-03-22 16:06:00+00:00,966,3,3,16,0.0,0.0,1,16,Turning & Milling Q.C.,2012-03-22 16:06:00+00:00,405,44,Case142,true
Ballnut,missing,18,Case142,regular,Turning & Milling Q.C.,ID4287,D,Quality Check 1,18,0,70.0,2012-03-26 11:10:00+00:00,670,3,0,11,5464.0,5464.0,2,13,Turning & Milling Q.C.,2012-03-26 11:10:00+00:00,406,44,Case142,true
Cable Head,missing,260,Case64,regular,Turning & Milling - Machine 5,ID4429,S,Machine 5 - Turning & Milling,2,0,450.0,2012-03-15 23:59:00+00:00,1439,3,3,23,0.0,0.0,1,23,Turning & Milling - Machine 5,2012-03-15 23:59:00+00:00,2132,184,Case64,true
Cable Head,missing,260,Case64,regular,Turning & Milling - Machine 5,ID4932,D,Machine 5 - Turning & Milling,37,0,400.0,2012-03-16 07:00:00+00:00,420,3,4,7,421.0,421.0,2,23,Turning & Milling - Machine 5,2012-03-16 07:00:00+00:00,2133,184,Case64,true
Cable Head,missing,260,Case64,regular,Turning & Milling - Machine 5,ID4529,D,Machine 5 - Turning & Milling,30,0,339.0,2012-03-16 12:49:00+00:00,769,3,4,12,349.0,770.0,3,21,Turning & Milling - Machine 5,2012-03-16 12:49:00+00:00,2134,184,Case64,true
Cable Head,missing,260,Case64,regular,Turning & Milling - Machine 5,ID4932,D,Machine 5 - Turning & Milling,52,0,397.0,2012-03-17 15:00:00+00:00,900,3,5,15,1571.0,2341.0,4,21,Turning & Milling - Machine 5,2012-03-17 15:00:00+00:00,2135,184,Case64,true
Cable Head,missing,260,Case64,regular,Turning & Milling - Machine 5,ID4932,D,Machine 5 - Turning & Milling,6,0,162.0,2012-03-18 16:04:00+00:00,964,3,6,16,1504.0,3845.0,5,21,Turning & Milling - Machine 5,2012-03-18 16:04:00+00:00,2136,184,Case64,true
Cable Head,missing,260,Case64,regular,Turning & Milling - Machine 5,ID4429,D,Machine 5 - Turning & Milling,12,0,79.0,2012-03-18 17:59:00+00:00,1079,3,6,17,115.0,3960.0,6,22,Turning & Milling - Machine 5,2012-03-18 17:59:00+00:00,2137,184,Case64,true
Cable Head,missing,260,Case64,regular,Turning & Milling - Machine 5,ID4529,D,Machine 5 - Turning & Milling,0,0,1.0,2012-03-18 20:08:00+00:00,1208,3,6,20,129.0,4089.0,7,22,Turning & Milling - Machine 5,2012-03-18 20:08:00+00:00,2138,184,Case64,true
Cable Head,missing,260,Case64,regular,Turning & Milling - Machine 5,ID4529,D,Machine 5 - Turning & Milling,70,0,602.0,2012-03-19 06:10:00+00:00,370,3,0,6,602.0,4691.0,8,22,Turning & Milling - Machine 5,2012-03-19 06:10:00+00:00,2139,184,Case64,true
Housing,missing,400,Case32,deviant,Turning & Milling - Machine 5,ID4794,S,Machine 5 - Turning & Milling,0,0,233.0,2012-01-24 15:45:00+00:00,945,1,1,15,0.0,0.0,1,34,Turning & Milling - Machine 5,2012-01-24 15:45:00+00:00,1752,151,Case32,true
Housing,missing,400,Case32,deviant,Turning & Milling - Machine 5,ID4429,S,Machine 5 - Turning & Milling,0,0,519.0,2012-01-25 18:00:00+00:00,1080,1,2,18,1575.0,1575.0,2,33,Turning & Milling - Machine 5,2012-01-25 18:00:00+00:00,1753,151,Case32,true
Housing,missing,400,Case32,deviant,Turning & Milling - Machine 5,ID4529,S,Machine 5 - Turning & Milling,0,0,646.0,2012-01-26 06:44:00+00:00,404,1,3,6,764.0,2339.0,3,33,Turning & Milling - Machine 5,2012-01-26 06:44:00+00:00,1754,151,Case32,true
Housing,missing,400,Case32,deviant,Turning & Milling - Machine 5,ID4429,S,Machine 5 - Turning & Milling,3,0,532.0,2012-01-26 16:16:00+00:00,976,1,3,16,572.0,2911.0,4,33,Turning & Milling - Machine 5,2012-01-26 16:16:00+00:00,1755,151,Case32,true
Housing,missing,400,Case32,deviant,Turning & Milling - Machine 5,ID4167,S,Machine 5 - Turning & Milling,1,0,425.0,2012-01-26 23:45:00+00:00,1425,1,3,23,449.0,3360.0,5,33,Turning & Milling - Machine 5,2012-01-26 23:45:00+00:00,1756,151,Case32,true
Housing,missing,400,Case32,deviant,Turning & Milling Q.C.,ID4493,D,Quality Check 1,0,0,121.0,2012-01-27 10:02:00+00:00,602,1,4,10,617.0,3977.0,6,33,Turning & Milling Q.C.,2012-01-27 10:02:00+00:00,1757,151,Case32,true
Housing,missing,400,Case32,deviant,Turning & Milling - Machine 5,ID4429,S,Machine 5 - Turning & Milling,5,0,366.0,2012-01-27 12:55:00+00:00,775,1,4,12,173.0,4150.0,7,32,Turning & Milling - Machine 5,2012-01-27 12:55:00+00:00,1758,151,Case32,true
